
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |                                                                                                                                                                      :data |
|   FSDCX |  100 | 18.239999771118164 | 2004-03-15 | 18.639999389648438 | 2004-03-29 |  39.999961853027344 |   {:rsma200 1.1441905834612955, :rsma30 0.9150195552990594, :sma200 15.941400003433227, :date #time/date "2004-03-15", :close 18.239999771118164, :sma30 19.9339999516805} |
|   FWRLX |  100 |  4.559999942779541 | 2004-04-30 |  4.619999885559082 | 2004-05-03 |   5.999994277954102 |    {:rsma200 1.1090303110720174, :rsma30 0.9440342110767596, :sma200 4.111700011491775, :date #time/date "2004-04-30", :close 4.559999942779541, :sma30 4.830333360036215} |
|   FWRLX |  100 |  4.579999923706055 | 2004-05-10 |  4.650000095367432 | 2004-05-11 |   7.000017166137695 |   {:rsma200 1.1020609298706878, :rsma30 0.9452393889995774, :sma200 4.155850007534027, :date #time/date "2004-05-10", :close 4.579999923706055, :sma30 4.8453333377838135} |
|   FSNGX |  100 | 22.360000610351562 | 2004-05-10 | 22.709999084472656 | 2004-05-11 |  34.999847412109375 |  {:rsma200 1.073142667330204, :rsma30 0.9479932393170754, :sma200 20.835999994277955, :date #time/date "2004-05-10", :close 22.360000610351562, :sma30 23.586666742960613} |
|   FBIOX |  100 | 55.439998626708984 | 2004-05-10 | 56.279998779296875 | 2004-05-11 |   84.00001525878906 |   {:rsma200 1.0529784263046615, :rsma30 0.9459136456414255, :sma200 52.65065004348755, :date #time/date "2004-05-10", :close 55.439998626708984, :sma30 58.60999984741211} |
|   FWRLX |  100 |  4.510000228881836 | 2004-05-17 |  4.599999904632568 | 2004-05-18 |   8.999967575073242 |     {:rsma200 1.0768735369943878, :rsma30 0.9384754550000355, :sma200 4.188050011396408, :date #time/date "2004-05-17", :close 4.510000228881836, :sma30 4.80566668510437} |
|   FSNGX |  100 | 24.030000686645508 | 2004-08-12 | 24.299999237060547 | 2004-08-13 |  26.999855041503906 |  {:rsma200 1.0578633490770708, :rsma30 0.9457403253258763, :sma200 22.715599994659424, :date #time/date "2004-08-12", :close 24.030000686645508, :sma30 25.40866667429606} |
|   FSAGX |  100 | 26.700000762939453 | 2004-12-07 | 26.139999389648438 | 2004-12-08 |  -56.00013732910156 |  {:rsma200 1.0603569780347348, :rsma30 0.9489622087368282, :sma200 25.18019998550415, :date #time/date "2004-12-07", :close 26.700000762939453, :sma30 28.136000061035155} |
|   FSAGX |  100 | 26.479999542236328 | 2004-12-13 | 26.329999923706055 | 2004-12-14 | -14.999961853027344 |  {:rsma200 1.0525687986594219, :rsma30 0.9459620205500837, :sma200 25.157499990463258, :date #time/date "2004-12-13", :close 26.479999542236328, :sma30 27.99266668955485} |
|   FSAGX |  100 | 26.489999771118164 | 2004-12-16 | 26.579999923706055 | 2004-12-17 |   9.000015258789062 |   {:rsma200 1.0535337441567467, :rsma30 0.9471651698785243, :sma200 25.14394998550415, :date #time/date "2004-12-16", :close 26.489999771118164, :sma30 27.96766668955485} |
|   FSRFX |  100 |  39.20000076293945 | 2005-01-21 |  39.45000076293945 | 2005-01-25 |                25.0 |   {:rsma200 1.0720986558640744, :rsma30 0.9463951028080725, :sma200 36.563799934387205, :date #time/date "2005-01-21", :close 39.20000076293945, :sma30 41.42033348083496} |
|   FSHOX |  100 |   42.2599983215332 | 2005-03-29 |  42.58000183105469 | 2005-03-30 |   32.00035095214844 |       {:rsma200 1.05585061015475, :rsma30 0.9447515943688662, :sma200 40.02459999084473, :date #time/date "2005-03-29", :close 42.2599983215332, :sma30 44.73133316040039} |
