
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|   FSCHX |  100 | 45.369998931884766 | 2002-05-07 | 45.779998779296875 | 2002-05-28 |   40.99998474121094 |
|   FSRBX |  100 |   35.7599983215332 | 2002-03-26 |  35.06999969482422 | 2002-06-04 |  -68.99986267089844 |
|   FSAGX |  100 |   24.8700008392334 | 2002-05-29 |  23.93000030517578 | 2002-06-05 |  -94.00005340576172 |
|   FSDPX |  100 | 28.030000686645508 | 2002-05-15 | 27.989999771118164 | 2002-06-10 |  -4.000091552734375 |
|   FSHOX |  100 |  28.81999969482422 | 2002-06-05 | 27.969999313354492 | 2002-06-13 |  -85.00003814697266 |
|   FSNGX |  100 | 18.829999923706055 | 2002-06-18 | 18.639999389648438 | 2002-06-20 |  -19.00005340576172 |
|   FSESX |  100 |  34.16999816894531 | 2002-06-17 | 33.380001068115234 | 2002-06-20 |  -78.99971008300781 |
|   FSHOX |  100 | 29.260000228881836 | 2002-06-21 | 28.559999465942383 | 2002-06-25 |  -70.00007629394531 |
|   FSAGX |  100 | 22.979999542236328 | 2002-06-21 | 21.979999542236328 | 2002-06-27 |              -100.0 |
|   FSCHX |  100 |  45.16999816894531 | 2002-06-28 |  44.04999923706055 | 2002-07-02 | -111.99989318847656 |
|   FSAVX |  100 | 27.260000228881836 | 2002-06-06 | 25.479999542236328 | 2002-07-02 | -178.00006866455078 |
|   FSAGX |  100 |  22.15999984741211 | 2002-07-11 |               22.0 | 2002-07-12 | -15.999984741210938 |
|   FSPTX |  100 |  40.86000061035156 | 2002-07-16 |  40.31999969482422 | 2002-07-18 | -54.000091552734375 |
|   FBIOX |  100 |  34.77000045776367 | 2002-07-16 | 34.619998931884766 | 2002-07-19 | -15.000152587890625 |
|   FSRBX |  100 | 31.829999923706055 | 2002-07-29 | 30.940000534057617 | 2002-08-02 |  -88.99993896484375 |
|   FSCHX |  100 |  42.33000183105469 | 2002-07-29 |  39.56999969482422 | 2002-08-02 |  -276.0002136230469 |
|   FSPCX |  100 |  46.38999938964844 | 2002-07-29 | 43.540000915527344 | 2002-08-05 |  -284.9998474121094 |
|   FSNGX |  100 | 16.059999465942383 | 2002-08-03 | 15.729999542236328 | 2002-08-05 |  -32.99999237060547 |
|   FPHAX |  100 |  7.039999961853027 | 2002-08-03 |   6.78000020980835 | 2002-08-05 | -25.999975204467773 |
|   FSDPX |  100 | 23.739999771118164 | 2002-08-09 | 23.270000457763672 | 2002-09-03 |  -46.99993133544922 |
|   FDFAX |  100 |  40.06999969482422 | 2002-08-06 | 40.310001373291016 | 2002-09-03 |  24.000167846679688 |
|   FDLSX |  100 |  49.40999984741211 | 2002-09-09 |  49.27000045776367 | 2002-09-12 |  -13.99993896484375 |
|   FSDAX |  100 |  43.41999816894531 | 2002-09-09 |  42.65999984741211 | 2002-09-13 |  -75.99983215332031 |
|   FSTCX |  100 | 21.829999923706055 | 2002-09-14 | 21.420000076293945 | 2002-09-16 |  -40.99998474121094 |
|   FBMPX |  100 | 29.829999923706055 | 2002-09-13 | 29.389999389648438 | 2002-09-18 |  -44.00005340576172 |
|   FSAGX |  100 | 18.190000534057617 | 2002-08-06 | 20.850000381469727 | 2002-10-02 |  265.99998474121094 |
|   FSNGX |  100 |   16.1200008392334 | 2002-09-30 | 16.059999465942383 | 2002-10-03 | -6.0001373291015625 |
|   FSESX |  100 |  26.06999969482422 | 2002-09-30 | 25.649999618530273 | 2002-10-07 |  -42.00000762939453 |
|   FSRBX |  100 | 28.829999923706055 | 2002-10-11 | 29.959999084472656 | 2002-11-11 |  112.99991607666016 |
|   FBMPX |  100 | 30.059999465942383 | 2002-10-11 |  33.56999969482422 | 2002-12-27 |   351.0000228881836 |
|   FSTCX |  100 | 25.729999542236328 | 2002-12-28 | 25.790000915527344 | 2003-01-24 |  6.0001373291015625 |
|   FSCSX |  100 |              30.25 | 2002-10-11 |  36.31999969482422 | 2003-01-30 |   606.9999694824219 |
|   FSAGX |  100 | 25.110000610351562 | 2003-01-25 | 22.790000915527344 | 2003-02-10 | -231.99996948242188 |
|   FSNGX |  100 |   16.6200008392334 | 2003-01-31 | 16.510000228881836 | 2003-02-12 |  -11.00006103515625 |
|   FSESX |  100 | 28.780000686645508 | 2003-02-11 | 27.989999771118164 | 2003-02-12 |  -79.00009155273438 |
|   FWRLX |  100 | 2.4200000762939453 | 2003-02-19 |  2.390000104904175 | 2003-02-26 |  -2.999997138977051 |
|   FDCPX |  100 | 22.559999465942383 | 2003-02-18 | 21.600000381469727 | 2003-02-26 |  -95.99990844726562 |
|   FSNGX |  100 | 17.389999389648438 | 2003-02-27 | 17.299999237060547 | 2003-03-03 |  -9.000015258789062 |
|   FSDPX |  100 | 22.700000762939453 | 2002-11-12 |              23.25 | 2003-03-04 |   54.99992370605469 |
|   FNARX |  100 | 11.020000457763672 | 2003-02-27 |  10.84000015258789 | 2003-03-10 | -18.000030517578125 |
|   FSENX |  100 | 20.649999618530273 | 2003-03-04 | 20.270000457763672 | 2003-03-11 | -37.999916076660156 |
|   FWRLX |  100 |  2.490000009536743 | 2003-03-17 | 2.4800000190734863 | 2003-03-24 | -0.9999990463256836 |
|   FBIOX |  100 |  39.59000015258789 | 2003-03-14 |  40.34000015258789 | 2003-03-24 |                75.0 |
|   FSELX |  100 | 25.329999923706055 | 2003-03-14 | 26.110000610351562 | 2003-03-24 |   78.00006866455078 |
|   FSPCX |  100 |  42.54999923706055 | 2003-03-25 | 41.939998626708984 | 2003-03-31 |  -61.00006103515625 |
|   FSCHX |  100 | 39.029998779296875 | 2003-03-25 |  38.41999816894531 | 2003-03-31 |  -61.00006103515625 |
|   FBSOX |  100 | 10.470000267028809 | 2003-03-25 | 10.279999732971191 | 2003-03-31 |  -19.00005340576172 |
|   FSNGX |  100 | 17.299999237060547 | 2003-04-01 | 16.920000076293945 | 2003-04-03 | -37.999916076660156 |
|   FWRLX |  100 |  2.509999990463257 | 2003-04-04 | 2.4800000190734863 | 2003-04-09 |  -2.999997138977051 |
|   FSDAX |  100 |  36.77000045776367 | 2003-04-01 |  35.83000183105469 | 2003-04-10 |  -93.99986267089844 |
|   FBMPX |  100 |   33.7599983215332 | 2003-04-11 | 35.130001068115234 | 2003-04-24 |  137.00027465820312 |
|   FSUTX |  100 | 25.530000686645508 | 2003-04-01 | 29.149999618530273 | 2003-08-01 |  361.99989318847656 |
|   FMCDX |  100 | 18.100000381469727 | 2003-08-02 | 17.770000457763672 | 2003-08-05 |  -32.99999237060547 |
|   FSDPX |  100 |  26.59000015258789 | 2003-08-06 | 33.189998626708984 | 2004-01-29 |   659.9998474121094 |
|   FWRLX |  100 |  4.610000133514404 | 2004-01-30 |  4.619999885559082 | 2004-03-15 |  0.9999752044677734 |
|   FSPCX |  100 | 43.880001068115234 | 2003-04-10 | 54.790000915527344 | 2004-08-06 |   1090.999984741211 |
|   FBSOX |  100 | 10.920000076293945 | 2003-04-25 | 13.399999618530273 | 2004-08-06 |   247.9999542236328 |
